,MI Scores
PC1,0.058877953442984854
PC6,0.027462188971238533
PC13,0.02644246393251226
PC4,0.02642834115839321
PC3,0.026047514748158918
PC28,0.02283649024682788
PC27,0.019974484721339003
PC2,0.018842184099813863
PC31,0.018766652464999645
PC299,0.01828664333379848
PC24,0.017762488644875063
PC38,0.017727258276580393
PC11,0.017339453146531625
PC362,0.016921204607582396
PC26,0.016881811660883983
PC460,0.016807105934229405
PC80,0.016460430204112697
PC104,0.01635103982277908
PC807,0.016152317367659208
PC372,0.015972921608256918
PC221,0.015751642783515152
PC78,0.01567799515572066
PC5,0.015644941539181723
PC29,0.015533160765370368
PC163,0.015502406820769643
PC25,0.015405477675193069
PC19,0.015404492874504072
PC77,0.015352618160922482
PC105,0.015331663398808537
PC308,0.015308492263605089
PC811,0.015303237192680896
PC33,0.015270127148420798
PC48,0.015258601739677857
PC74,0.014980352300326238
PC17,0.014940233750347254
PC311,0.014934726429824963
PC230,0.014880834028224932
PC57,0.014792292423506659
PC135,0.014783262213765802
PC172,0.01475386422806757
PC169,0.014574167103678093
PC22,0.014530557203160654
PC285,0.014515988893053056
PC329,0.014474083932019433
PC251,0.014433226699035018
PC140,0.014307933578256993
PC56,0.014257096825106785
PC167,0.014205882591724617
PC346,0.01418919146801123
PC231,0.014153938145837763
PC81,0.014075909535264941
PC12,0.01406603837174103
PC14,0.014011494510398848
PC18,0.01394121536027182
PC365,0.0139205811314973
PC261,0.013877539559688401
PC67,0.013812690060702515
PC147,0.013780174856523608
PC165,0.01372502884952631
PC337,0.013639461716664414
PC9,0.013615769853468684
PC145,0.013548336299720631
PC255,0.013512612410046643
PC175,0.013511240570854177
PC224,0.013510761175547614
PC72,0.013503934155880692
PC170,0.013489973411231482
PC161,0.01347648001343238
PC75,0.013475266940225161
PC355,0.013425756442599912
PC82,0.013408272214459949
PC168,0.013397005676235807
PC252,0.013365156773434528
PC177,0.013354250135085621
PC258,0.013309125182668247
PC286,0.013263677449828037
PC333,0.013227957508662236
PC317,0.013191134906813673
PC138,0.013185596567995006
PC32,0.013175948014533034
PC275,0.013172108210082634
PC61,0.013168155818436666
PC348,0.01315175349119091
PC130,0.013128966894003113
PC62,0.013128703481868342
PC187,0.013093108155149302
PC40,0.013007338497011744
PC359,0.01297218583807247
PC459,0.012936279450661559
PC30,0.012886995039628424
PC828,0.012869867530583612
PC7,0.012856919165050051
PC95,0.012849808754823222
PC58,0.012799370297350343
PC128,0.012790986010892347
PC217,0.012771886918305775
PC63,0.012755659920037132
PC192,0.012748547345236894
PC20,0.012725314640261054
PC263,0.01271853000069445
PC305,0.012698337283319816
PC197,0.012677765907024963
PC156,0.012623187642397227
PC349,0.0126186656593541
PC49,0.012607419970915856
PC195,0.012601208415431664
PC456,0.012594879514462143
PC114,0.012575993040823796
PC126,0.012557245210912171
PC164,0.012544009908968867
PC51,0.012469079617488887
PC155,0.012428781239531617
PC96,0.012407594491351759
PC350,0.01240413710880528
PC340,0.012387760029350048
PC339,0.01232461925676187
PC42,0.012318655195930894
PC69,0.012305087532977765
PC45,0.012231167997491355
PC87,0.012224558029581445
PC116,0.012215440006437817
PC71,0.012205229942920504
PC265,0.012188670501664944
PC302,0.01218399363467082
PC35,0.012174681277333121
PC148,0.012134878990787357
PC94,0.012124371580991777
PC336,0.012104327263037895
PC223,0.012091797694111506
PC143,0.012061017684973585
PC283,0.012056847605430576
PC129,0.012047886652597484
PC183,0.012016067803370056
PC193,0.011980348502187432
PC41,0.011961505328313748
PC15,0.011931713398396049
PC447,0.011925204296129976
PC463,0.011901531936916676
PC21,0.011897171365162329
PC284,0.011890575389619684
PC79,0.011840467472477023
PC157,0.011814550454174011
PC125,0.011807849708758589
PC812,0.011804494093464513
PC64,0.011780967155338828
PC111,0.011741405012878126
PC107,0.011732875239863993
PC366,0.011729360926294063
PC102,0.011728608143765307
PC262,0.011720755308206598
PC98,0.011686305382028195
PC297,0.011662771851200127
PC179,0.011635204819918421
PC245,0.011630550179839716
PC120,0.011608753404938277
PC334,0.01158240296097457
PC296,0.011573509928171077
PC249,0.011571418388850674
PC65,0.011555634954635963
PC139,0.011540143528084634
PC39,0.011532539192458557
PC295,0.011492174334423844
PC152,0.011483524654830823
PC108,0.011468967164507404
PC225,0.011446882558290739
PC335,0.011438042721250596
PC50,0.011428265148204275
PC55,0.011407650610973263
PC101,0.011407163000813014
PC430,0.011400994736832537
PC213,0.011381222619239573
PC181,0.011365981988251228
PC388,0.01134662048530366
PC238,0.011331717118260975
PC341,0.011315909874332064
PC123,0.011297785354251744
PC115,0.011290195540768266
PC166,0.011280614764664243
PC368,0.011266211783944158
PC242,0.011262104365543202
PC88,0.011228761864129133
PC34,0.011201957364702864
PC66,0.011193765601013261
PC46,0.011174149968734781
PC725,0.011160080093765679
PC121,0.01112330567988451
PC16,0.011119474924895734
PC185,0.011112963501265227
PC318,0.011111177671448758
PC256,0.011102385054522657
PC328,0.011087929865293056
PC70,0.01108720878497138
PC290,0.011080017406842835
PC76,0.011061836327313834
PC176,0.01105820849641237
PC289,0.01104394408181264
PC793,0.011025837902145064
PC347,0.011009073890353882
PC416,0.01099721170479917
PC83,0.010995005331001728
PC219,0.010994624323550362
PC99,0.010993703082572637
PC824,0.010983427239925625
PC267,0.010956232117194098
PC405,0.010946570441679349
PC218,0.01093567097102266
PC202,0.01093213562092199
PC292,0.010911031958840134
PC428,0.010903916938900693
PC227,0.010902501770789996
PC150,0.010887014336157463
PC345,0.010879364506584999
PC188,0.01087265830873907
PC10,0.010840098665845233
PC158,0.010826153602580213
PC190,0.010813780760845049
PC319,0.010784720635695244
PC324,0.010760616029320325
PC47,0.010752423509646114
PC310,0.010741753469734938
PC209,0.010729535725191752
PC393,0.010728952490243415
PC563,0.01070753238294131
PC232,0.010701096098703289
PC273,0.01068993683400521
PC429,0.010684296076896693
PC241,0.010680881147460575
PC282,0.010679659535461461
PC779,0.010674863244982014
PC159,0.010661835501792005
PC397,0.010657680206668907
PC291,0.010640336954830687
PC279,0.010637790343859699
PC373,0.010631450975363776
PC270,0.010617853791341503
PC751,0.01060254612975875
PC149,0.010596499156024564
PC68,0.01058640286631718
PC446,0.010582649671352584
PC207,0.010582124184775665
PC637,0.010554916095374622
PC288,0.01055308640769681
PC272,0.010545672068369427
PC236,0.01053498501691319
PC52,0.010520197292515299
PC171,0.010495484768661356
PC309,0.010494849446130772
PC303,0.010490626108896173
PC160,0.010484698970892659
PC810,0.010469091139762021
PC43,0.010467424016907145
PC191,0.010466117865307822
PC248,0.010456303526997779
PC8,0.010439542661544898
PC590,0.010430310402916199
PC118,0.010391282678181568
PC802,0.010390360162509715
PC800,0.010373036826939241
PC815,0.010347499878399447
PC550,0.010340437275170977
PC464,0.010309404149588808
PC91,0.01029191686028863
PC36,0.010261000137640863
PC228,0.010229771929716414
PC424,0.010222295196473219
PC425,0.01020533745358243
PC821,0.010180170027474844
PC144,0.010163999647063271
PC344,0.010160971293935006
PC266,0.010148633766493553
PC37,0.010144185221315993
PC451,0.010134294747283334
PC214,0.01012195751213163
PC581,0.010104817545674827
PC494,0.01009729231737122
PC233,0.010074379904264852
PC501,0.01006083086815579
PC281,0.010059573035815284
PC182,0.010039433626410244
PC141,0.010034861800820138
PC820,0.010025940562134572
PC650,0.010023655786797647
