Feature,MI
X853,0.21673851162509727
X854,0.2137834722222971
X862,0.09719523488398973
X881,0.09466626137017631
X880,0.09413402092553547
X879,0.09399760797850565
X137,0.09364275519482312
X882,0.09301632595753784
X873,0.09233115968427352
X95,0.09223918071007109
X179,0.09037419275430114
X182,0.08982167767974669
X140,0.08982166863538943
X98,0.08982164775687629
X889,0.08916478828858576
X883,0.08879245863990715
X878,0.08848998403805819
X181,0.08696839027154901
X384,0.08669768213093221
X387,0.08649518887609897
X345,0.08649516365258592
X429,0.08649515576289701
X888,0.08611274815649939
X428,0.08586608640637827
X342,0.08277543741644156
X426,0.08267186513800695
X877,0.08184285118393575
X887,0.08130648379998995
X422,0.08118714185267972
X131,0.08030070825889624
X175,0.07926823634537694
X173,0.07915790775652987
X94,0.07896248423694541
X729,0.07893480844491751
X138,0.07881913250309758
X89,0.07856755584231312
X688,0.07804790312671095
X219,0.07798022139060112
X728,0.07782587332767843
X180,0.07698330843928058
X730,0.07677746754491999
X890,0.07672757502330008
X427,0.07505659442325463
X731,0.0748938578925964
X385,0.07479932029668301
X386,0.07463908205045655
X727,0.07443313932312101
X694,0.07429319106332333
X169,0.07410133313964806
X685,0.0740052824197317
X691,0.07393163035403472
X178,0.07379190709621852
X344,0.07269502253369087
X378,0.07249377700508841
X96,0.0723536100959441
X296,0.07229550538545837
X136,0.07228648400778237
X726,0.0720156068042268
X588,0.07183923824901761
X294,0.0715787276240265
X466,0.07155658506645945
X298,0.0712921640499129
X302,0.07082179944605738
X423,0.0703728952998608
X381,0.07037287233018308
X339,0.07037217078412539
X139,0.07024479557411745
X416,0.06991616094627773
X292,0.06982920711957075
X343,0.06960871570017435
X300,0.06896948900266153
X92,0.06886395623417751
X176,0.06886373341642482
X134,0.06886340028266424
X380,0.06838041836935727
X336,0.06831960979636786
X303,0.06807801082914633
X420,0.06795335736021091
X218,0.06701043935794448
X163,0.06695912202214327
X125,0.06655136949404028
X539,0.06647475690226479
X410,0.06543949481597089
X855,0.06538129012059546
X299,0.06514511710054194
X133,0.06502938473753073
X301,0.06477832650414683
X290,0.06442109100959925
X852,0.06400955282654319
X886,0.06341171225000064
X297,0.06298151743876268
X167,0.06263811713359146
X83,0.06259153297442666
X785,0.062401705305044075
X157,0.062386390481482756
X170,0.061774309087466506
X128,0.061773645481426165
X86,0.061762023687772505
X88,0.06144479421350635
X465,0.061245578165889825
X692,0.06120878715235456
X781,0.061115393898612425
X151,0.06109009504902829
X172,0.061047445263539224
X127,0.06089617071546627
X421,0.06081554451279558
X404,0.060788687566464716
X295,0.06077067000328462
X217,0.060376386439906504
X686,0.060340337541711975
