Date,Open,High,Low,close,adj_close,Volume,daily_returns_adj,daily_fwd_returns_adj
01-Apr-24,71333.48,71342.09,68110.7,69702.15,69702.15,34873527352,0.023406739,-0.022871394
31-Mar-24,69647.78,71377.78,69624.87,71333.65,71333.65,20050941373,-0.023668353,0.024242124
30-Mar-24,69893.45,70355.49,69601.06,69645.3,69645.3,17130241883,0.003554152,-0.003541565
29-Mar-24,70744.8,70913.09,69076.66,69892.83,69892.83,25230851763,0.012191809,-0.012044959
28-Mar-24,69452.77,71546.02,68895.51,70744.95,70744.95,34374900617,-0.018229004,0.018567471
27-Mar-24,69991.9,71727.69,68381.93,69455.34,69455.34,40827113309,0.007666797,-0.007608465
26-Mar-24,69931.33,71535.74,69335.61,69987.84,69987.84,36010437368,-0.000414786,0.000414958
25-Mar-24,67234.09,71162.59,66414.84,69958.81,69958.81,42700139523,-0.038946346,0.040524632
24-Mar-24,64070.75,67622.76,63825.85,67234.17,67234.17,27206630673,-0.047177945,0.04951391
23-Mar-24,63802.72,65976.4,63038.49,64062.2,64062.2,24738964812,-0.00442445,0.004444113
22-Mar-24,65489.93,66623.75,62355.37,63778.76,63778.76,41401116964,0.02685267,-0.02615046
21-Mar-24,67911.59,68199.99,64580.92,65491.39,65491.39,44480350565,0.036986236,-0.035667046
20-Mar-24,61930.16,68115.26,60807.79,67913.67,67913.67,66792634382,-0.088360709,0.096925077
19-Mar-24,67556.13,68106.93,61536.18,61912.77,61912.77,74215844794,0.091028394,-0.08343357
18-Mar-24,68371.3,68897.13,66594.23,67548.59,67548.59,49261579492,0.012465693,-0.012312213
17-Mar-24,65316.34,68845.72,64545.32,68390.63,68390.63,44716864318,-0.044969757,0.047087259
16-Mar-24,69392.48,70046.27,64801.39,65315.12,65315.12,46842198371,0.062598829,-0.058911065
15-Mar-24,71387.88,72357.13,65630.7,69403.77,69403.77,78320453976,0.028713426,-0.027911977
14-Mar-24,73079.38,73750.07,68563.02,71396.59,71396.59,59594605698,0.023627319,-0.023081954
13-Mar-24,71482.12,73637.48,71334.09,73083.5,73083.5,48212536929,-0.021923006,0.022414397
12-Mar-24,72125.13,72825.66,68728.85,71481.29,71481.29,62554434520,0.008990045,-0.008909944
11-Mar-24,69020.55,72850.71,67194.88,72123.91,72123.91,65716656765,-0.043038709,0.044974347
10-Mar-24,68500.26,70005.2,68239.98,69019.79,69019.79,35683977532,-0.007547256,0.00760465
09-Mar-24,68299.26,68673.05,68053.13,68498.88,68498.88,21609650379,-0.002902091,0.002910538
08-Mar-24,66938.09,70083.05,66230.45,68300.09,68300.09,59202881172,-0.020126035,0.020539412
07-Mar-24,66099.74,68029.92,65655.53,66925.48,66925.48,46989543159,-0.01223271,0.012384203
06-Mar-24,63776.05,67637.93,62848.67,66106.8,66106.8,68750229073,-0.034876896,0.036137251
05-Mar-24,68341.05,69170.63,59323.91,63801.2,63801.2,1.02803E+11,0.070989417,-0.066283958
04-Mar-24,63137,68537.03,62386.52,68330.41,68330.41,70670471105,-0.075559915,0.081735871
03-Mar-24,62031.58,63230.21,61435.02,63167.37,63167.37,26253811450,-0.018008032,0.018338268
02-Mar-24,62431.65,62458.7,61657.29,62029.85,62029.85,23888473685,0.006622296,-0.006578729
01-Mar-24,61168.06,63155.1,60802.53,62440.63,62440.63,40186368423,-0.019894899,0.02029874
29-Feb-24,62499.18,63585.64,60498.73,61198.38,61198.38,65496611844,0.021347134,-0.020900958
